               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10891,            0.017468,            0.075702,             0.01751,             0.88846,            0.063544,            0.018448,            0.054015,            0.008181,            0.039169,              0.0892,              0.0012,              0.0012
                   1,            0.089511,            0.020338,            0.070931,            0.012361,             0.94231,            0.059501,            0.014946,            0.043012,           0.0092369,            0.034094,            0.077495,            0.002495,            0.002495
                   2,            0.076841,            0.022706,            0.061695,            0.013198,             0.98846,            0.095212,            0.027073,            0.043365,           0.0093375,            0.033847,            0.065785,            0.003785,            0.003785
                   3,            0.062491,            0.022677,            0.044687,             0.36635,              0.4809,             0.34789,             0.11819,             0.03318,            0.008183,            0.023943,             0.05407,           0.0050697,           0.0050697
                   4,            0.058833,            0.020557,            0.039564,             0.25776,             0.48846,             0.26289,             0.12058,            0.026431,           0.0076549,            0.020758,            0.042349,           0.0063493,           0.0063493
                   5,            0.063073,            0.019115,            0.035653,             0.30027,             0.71744,             0.36396,             0.16278,            0.026606,           0.0059003,             0.01936,            0.030624,           0.0076238,           0.0076238
                   6,            0.055984,            0.017392,            0.030604,             0.23269,             0.55769,             0.29767,             0.10682,             0.03431,             0.00508,            0.018631,            0.018893,           0.0088931,           0.0088931
                   7,            0.059103,            0.017809,            0.032816,             0.25361,             0.66154,             0.29663,             0.14499,            0.027308,           0.0051263,            0.018601,           0.0098614,           0.0098614,           0.0098614
                   8,            0.059355,            0.016689,            0.031838,             0.46595,             0.80385,             0.53126,             0.18055,             0.02502,           0.0046783,            0.018005,           0.0098614,           0.0098614,           0.0098614
                   9,             0.05904,            0.015688,            0.031616,             0.26059,             0.47308,             0.28394,             0.15084,            0.026637,           0.0050298,            0.018704,           0.0098416,           0.0098416,           0.0098416
                  10,            0.055545,            0.015947,            0.030638,             0.28456,             0.73077,             0.39743,             0.18871,            0.021924,           0.0040917,              0.0181,           0.0098218,           0.0098218,           0.0098218
                  11,            0.055738,            0.014985,            0.030817,             0.47448,             0.87692,              0.5209,             0.23889,            0.018972,           0.0042938,             0.01772,            0.009802,            0.009802,            0.009802
                  12,             0.05022,            0.014491,            0.030444,             0.25048,             0.75852,             0.28644,             0.14624,            0.024812,           0.0044217,            0.018035,           0.0097822,           0.0097822,           0.0097822
                  13,            0.046202,            0.013961,            0.029558,              0.3131,             0.66923,             0.36272,             0.18947,            0.023263,           0.0050381,            0.018028,           0.0097624,           0.0097624,           0.0097624
                  14,            0.047384,            0.013754,            0.029628,             0.28977,             0.84231,             0.37453,             0.24256,            0.017964,           0.0042485,            0.017452,           0.0097426,           0.0097426,           0.0097426
                  15,            0.044126,            0.013214,            0.028784,             0.48579,             0.92357,             0.58115,             0.34809,            0.023601,           0.0035596,            0.016682,           0.0097228,           0.0097228,           0.0097228
                  16,            0.045298,            0.012956,             0.02995,             0.49513,             0.96154,             0.65992,             0.48204,            0.016745,           0.0029437,            0.016336,            0.009703,            0.009703,            0.009703
                  17,            0.043739,            0.011963,            0.028366,             0.47264,                   1,             0.61828,             0.42185,            0.015518,            0.003119,            0.016406,           0.0096832,           0.0096832,           0.0096832
                  18,            0.039537,            0.012517,            0.029047,             0.41755,             0.84949,             0.56559,             0.38137,            0.019718,           0.0032127,            0.016326,           0.0096634,           0.0096634,           0.0096634
                  19,            0.041244,            0.011809,            0.028418,             0.48648,                0.95,             0.62245,             0.43781,            0.014495,           0.0029826,            0.016408,           0.0096436,           0.0096436,           0.0096436
                  20,            0.038842,            0.011814,            0.028806,             0.49416,             0.95546,             0.60718,             0.41944,            0.014066,           0.0038737,            0.016587,           0.0096238,           0.0096238,           0.0096238
                  21,            0.038749,            0.012746,            0.029697,             0.50112,             0.99615,             0.64526,             0.46382,            0.011839,           0.0040367,            0.016464,            0.009604,            0.009604,            0.009604
                  22,            0.037417,            0.011995,              0.0291,             0.34908,             0.78868,             0.54025,             0.40611,            0.018653,           0.0032066,            0.016087,           0.0095842,           0.0095842,           0.0095842
                  23,            0.037331,            0.011439,            0.028655,              0.4645,             0.93462,             0.62841,             0.50571,            0.014454,           0.0030644,            0.016094,           0.0095644,           0.0095644,           0.0095644
                  24,            0.037787,            0.011877,            0.029225,             0.46972,             0.78846,             0.60889,             0.43086,            0.019641,           0.0028686,            0.016004,           0.0095446,           0.0095446,           0.0095446
                  25,            0.033981,            0.012039,            0.027666,             0.51395,             0.87197,             0.65292,             0.37869,            0.025182,           0.0030598,             0.01617,           0.0095248,           0.0095248,           0.0095248
                  26,            0.035072,            0.011514,            0.029095,             0.54922,             0.90385,             0.67492,             0.53556,            0.013489,           0.0028415,            0.016211,            0.009505,            0.009505,            0.009505
                  27,            0.036625,            0.011389,            0.029501,             0.54238,             0.87308,             0.73925,             0.57289,            0.011383,           0.0029647,            0.016397,           0.0094852,           0.0094852,           0.0094852
                  28,            0.035982,            0.011947,            0.028792,             0.57371,             0.90628,             0.74475,             0.55424,            0.015693,           0.0030712,            0.016264,           0.0094654,           0.0094654,           0.0094654
                  29,            0.035521,            0.010945,             0.02838,             0.62536,             0.78564,             0.77403,             0.62504,             0.01156,           0.0027772,              0.0158,           0.0094456,           0.0094456,           0.0094456
                  30,            0.032875,             0.01078,            0.027604,             0.60415,             0.87537,             0.80425,             0.62565,            0.011595,           0.0030982,            0.015645,           0.0094258,           0.0094258,           0.0094258
                  31,            0.031245,            0.011874,            0.027348,             0.54936,             0.91154,             0.81082,             0.62204,            0.013585,           0.0027419,            0.015301,            0.009406,            0.009406,            0.009406
                  32,             0.03349,            0.010718,             0.02816,             0.59679,             0.92308,             0.82839,             0.63182,             0.01063,           0.0025625,            0.014917,           0.0093862,           0.0093862,           0.0093862
                  33,            0.030361,            0.010331,             0.02711,             0.73322,             0.82308,             0.83511,             0.67529,            0.012494,           0.0025669,            0.014241,           0.0093664,           0.0093664,           0.0093664
                  34,            0.033365,            0.010846,            0.027659,             0.83559,             0.81923,             0.84764,             0.65607,            0.013413,           0.0026522,            0.012925,           0.0093466,           0.0093466,           0.0093466
                  35,            0.030793,            0.010459,             0.02706,             0.62625,             0.83846,             0.82022,             0.61539,            0.015453,           0.0026195,            0.013067,           0.0093268,           0.0093268,           0.0093268
                  36,            0.029747,            0.010513,            0.024699,             0.74972,             0.83846,             0.86653,             0.66012,            0.016653,           0.0027155,            0.011562,            0.009307,            0.009307,            0.009307
                  37,            0.033332,             0.01078,            0.025684,             0.83281,             0.89686,             0.90033,             0.70584,            0.014169,           0.0025356,            0.010272,           0.0092872,           0.0092872,           0.0092872
                  38,            0.032046,            0.010997,            0.023293,              0.8895,             0.90769,             0.95141,             0.75697,            0.014701,            0.002744,            0.009822,           0.0092674,           0.0092674,           0.0092674
                  39,            0.031116,            0.011443,            0.022629,             0.90523,             0.91598,             0.97207,             0.73785,            0.013991,           0.0026346,           0.0089988,           0.0092476,           0.0092476,           0.0092476
                  40,            0.031581,             0.01088,            0.022184,             0.89417,             0.94247,              0.9873,             0.82965,            0.012273,           0.0026226,           0.0074915,           0.0092278,           0.0092278,           0.0092278
                  41,            0.027892,            0.010495,            0.020574,             0.93405,             0.94256,             0.98618,             0.71395,            0.017204,           0.0026451,           0.0068183,            0.009208,            0.009208,            0.009208
                  42,            0.034427,            0.011604,             0.02289,             0.81245,             0.86538,             0.97409,             0.75722,            0.015269,           0.0030092,           0.0095892,           0.0091882,           0.0091882,           0.0091882
                  43,            0.029159,            0.010537,            0.021011,             0.91217,             0.94615,             0.99011,             0.81035,            0.016355,           0.0025343,           0.0073372,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032547,            0.010621,            0.018958,             0.93879,             0.98611,             0.99261,             0.81143,            0.010014,           0.0026862,           0.0043967,           0.0091486,           0.0091486,           0.0091486
                  45,            0.032971,            0.010636,            0.021979,             0.92823,             0.86307,              0.9853,             0.78008,             0.01062,           0.0024837,            0.006786,           0.0091288,           0.0091288,           0.0091288
                  46,            0.031094,            0.010471,            0.020764,              0.9641,             0.96007,             0.99218,             0.80094,            0.010547,            0.002479,           0.0056819,            0.009109,            0.009109,            0.009109
                  47,            0.028938,           0.0099091,            0.018564,              0.9476,             0.97692,             0.98892,             0.79653,            0.015813,           0.0025069,           0.0031366,           0.0090892,           0.0090892,           0.0090892
                  48,             0.02785,            0.010492,            0.017336,             0.97558,             0.98557,             0.99235,             0.78427,            0.010994,           0.0024509,           0.0034409,           0.0090694,           0.0090694,           0.0090694
                  49,            0.029169,            0.009854,            0.019498,              0.9677,             0.97976,              0.9945,             0.78415,           0.0098571,           0.0026298,           0.0043286,           0.0090496,           0.0090496,           0.0090496
                  50,            0.027873,             0.01039,            0.016165,             0.92598,             0.96675,             0.99219,             0.74394,             0.01318,           0.0027946,           0.0063372,           0.0090298,           0.0090298,           0.0090298
                  51,            0.028043,            0.010343,            0.014991,             0.91268,             0.92527,             0.99006,             0.78322,            0.010721,           0.0025672,           0.0032446,             0.00901,             0.00901,             0.00901
                  52,            0.028332,            0.010355,            0.016966,             0.92989,             0.96538,             0.98805,             0.80366,             0.01123,           0.0025069,            0.004952,           0.0089902,           0.0089902,           0.0089902
                  53,            0.027566,            0.010638,            0.017687,             0.98475,             0.98266,             0.99432,              0.8345,            0.011273,           0.0024629,           0.0029803,           0.0089704,           0.0089704,           0.0089704
                  54,            0.029676,            0.011305,              0.0168,             0.98592,             0.99615,             0.99336,             0.82457,           0.0098721,           0.0024771,            0.003127,           0.0089506,           0.0089506,           0.0089506
                  55,            0.026146,            0.010749,            0.014509,             0.97826,             0.96366,             0.99307,             0.82361,           0.0093366,           0.0024858,           0.0031915,           0.0089308,           0.0089308,           0.0089308
                  56,             0.02991,            0.010901,            0.016391,             0.98656,             0.99168,             0.99181,             0.80265,           0.0096217,           0.0024232,           0.0030791,            0.008911,            0.008911,            0.008911
                  57,            0.027544,            0.010969,            0.017818,             0.87859,             0.90471,             0.98201,             0.81134,            0.011402,           0.0024599,           0.0064192,           0.0088912,           0.0088912,           0.0088912
                  58,            0.030649,            0.010676,            0.018592,             0.86687,             0.95037,             0.98061,             0.74161,            0.012723,           0.0025939,           0.0083459,           0.0088714,           0.0088714,           0.0088714
                  59,              0.0321,            0.010432,            0.017713,             0.94345,             0.93983,             0.98813,             0.73939,            0.012208,           0.0025045,           0.0060453,           0.0088516,           0.0088516,           0.0088516
                  60,             0.02685,              0.0104,            0.016486,             0.89339,             0.92535,             0.99035,             0.80659,            0.010562,           0.0026851,           0.0053051,           0.0088318,           0.0088318,           0.0088318
                  61,            0.028422,            0.010747,            0.016213,             0.96032,             0.95407,             0.99241,             0.82481,            0.010202,            0.002601,           0.0055393,            0.008812,            0.008812,            0.008812
                  62,            0.028629,             0.01083,            0.017499,              0.9503,             0.92582,             0.98914,             0.82598,            0.010272,           0.0024466,            0.005971,           0.0087922,           0.0087922,           0.0087922
                  63,            0.026145,            0.009382,            0.015229,             0.97713,             0.97457,             0.99176,             0.81807,           0.0099061,           0.0024722,            0.002447,           0.0087724,           0.0087724,           0.0087724
                  64,            0.026957,             0.01046,            0.013051,             0.95996,             0.90764,             0.98931,             0.79527,            0.012144,           0.0027571,           0.0044136,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028958,            0.010733,            0.015017,             0.97224,             0.96596,             0.99154,             0.82127,             0.01026,           0.0024862,           0.0031287,           0.0087328,           0.0087328,           0.0087328
                  66,            0.030012,            0.010078,            0.015238,             0.83868,             0.92308,              0.9503,             0.69526,             0.01371,           0.0027794,           0.0062199,            0.008713,            0.008713,            0.008713
                  67,            0.028363,            0.010735,             0.01321,             0.98388,             0.97946,             0.99326,             0.81954,            0.010782,            0.002487,           0.0024809,           0.0086932,           0.0086932,           0.0086932
                  68,            0.027524,            0.010495,              0.0136,             0.97547,             0.97194,             0.99488,             0.81215,            0.010383,           0.0024766,           0.0024741,           0.0086734,           0.0086734,           0.0086734
                  69,            0.027952,            0.010751,            0.015771,             0.92273,             0.95048,             0.99103,             0.80368,           0.0099889,           0.0025571,           0.0090097,           0.0086536,           0.0086536,           0.0086536
                  70,            0.028218,            0.010227,            0.012572,               0.778,             0.94644,             0.98851,             0.79907,            0.013998,           0.0024817,            0.017748,           0.0086338,           0.0086338,           0.0086338
                  71,            0.030363,             0.01066,            0.014178,             0.99895,             0.99143,             0.99496,             0.80187,            0.010361,           0.0025899,           0.0023373,            0.008614,            0.008614,            0.008614
                  72,            0.026479,            0.010603,            0.012989,             0.99295,             0.99099,             0.99263,             0.78036,            0.015369,           0.0028395,           0.0026102,           0.0085942,           0.0085942,           0.0085942
                  73,            0.029258,             0.01088,            0.016978,             0.96827,             0.99588,             0.99198,             0.78899,           0.0096636,           0.0023042,           0.0024347,           0.0085744,           0.0085744,           0.0085744
                  74,            0.025872,            0.010387,            0.015779,              0.9689,             0.95385,             0.98011,             0.79056,           0.0094046,           0.0029825,            0.003597,           0.0085546,           0.0085546,           0.0085546
                  75,            0.025245,            0.010635,            0.015807,             0.91759,             0.95046,             0.98298,             0.80642,           0.0093063,           0.0027029,           0.0056867,           0.0085348,           0.0085348,           0.0085348
                  76,            0.026259,             0.01038,            0.013272,              0.8184,             0.85385,             0.92115,             0.67723,            0.010756,           0.0034433,           0.0095567,            0.008515,            0.008515,            0.008515
                  77,            0.027144,            0.010346,            0.014618,             0.90957,             0.93656,             0.98566,             0.80741,            0.013102,           0.0027039,           0.0047419,           0.0084952,           0.0084952,           0.0084952
                  78,            0.029998,            0.010309,            0.015245,             0.98597,             0.97052,             0.99388,             0.77849,            0.013008,           0.0027037,           0.0024916,           0.0084754,           0.0084754,           0.0084754
                  79,            0.028421,            0.010649,            0.015354,             0.96885,             0.95676,             0.99034,             0.76246,            0.011575,            0.002783,           0.0032844,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031151,            0.011196,            0.014563,             0.78339,             0.83458,              0.9121,             0.70676,            0.015602,           0.0027822,              0.0139,           0.0084358,           0.0084358,           0.0084358
                  81,            0.029434,           0.0099785,            0.017493,             0.88652,             0.96088,             0.98726,             0.80189,            0.010538,           0.0027487,           0.0060595,            0.008416,            0.008416,            0.008416
                  82,            0.025522,            0.010712,            0.012607,             0.82188,             0.90298,             0.94389,             0.77222,            0.011553,           0.0025877,            0.010687,           0.0083962,           0.0083962,           0.0083962
                  83,             0.02547,            0.010515,            0.015592,             0.87516,             0.89047,             0.96204,             0.73922,            0.015829,           0.0029406,            0.012152,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03022,            0.010777,            0.014944,             0.92914,             0.93726,             0.96677,              0.7829,            0.010689,           0.0024765,           0.0085125,           0.0083566,           0.0083566,           0.0083566
                  85,            0.025446,           0.0099274,            0.013519,              0.9454,             0.95043,             0.98577,             0.78153,            0.009426,           0.0026142,           0.0028531,           0.0083368,           0.0083368,           0.0083368
                  86,            0.025566,            0.010517,             0.01435,             0.95424,              0.9116,             0.98199,             0.80388,            0.010524,           0.0026158,           0.0037114,            0.008317,            0.008317,            0.008317
                  87,            0.024717,           0.0097777,             0.01311,             0.81753,              0.7847,             0.87101,             0.64866,            0.012819,            0.003134,            0.016112,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02687,            0.010217,            0.016327,             0.88268,             0.84723,             0.94778,              0.7406,            0.011788,           0.0028806,           0.0082417,           0.0082774,           0.0082774,           0.0082774
                  89,            0.028008,            0.010579,            0.014369,             0.91911,             0.98268,             0.99404,               0.846,           0.0083166,           0.0024175,           0.0039261,           0.0082576,           0.0082576,           0.0082576
                  90,            0.027304,           0.0094836,             0.01148,             0.86083,             0.95046,             0.98397,             0.82835,           0.0087982,           0.0024297,           0.0073955,           0.0082378,           0.0082378,           0.0082378
                  91,            0.024251,           0.0096832,            0.012239,             0.88267,             0.95121,             0.99154,             0.82117,           0.0095214,           0.0023667,           0.0047097,            0.008218,            0.008218,            0.008218
                  92,            0.027532,           0.0098302,            0.014455,             0.95412,             0.98931,             0.99337,              0.7983,            0.010008,           0.0024391,           0.0026822,           0.0081982,           0.0081982,           0.0081982
                  93,            0.025134,            0.010266,            0.012663,              0.9886,             0.99367,               0.995,             0.79135,            0.012294,           0.0024953,            0.002442,           0.0081784,           0.0081784,           0.0081784
                  94,            0.023299,            0.009575,             0.01267,             0.99792,                   1,               0.995,             0.80527,             0.01138,           0.0025618,           0.0015298,           0.0081586,           0.0081586,           0.0081586
                  95,             0.02829,            0.010494,            0.011048,             0.99816,                   1,               0.995,             0.84018,           0.0079157,           0.0022331,           0.0014339,           0.0081388,           0.0081388,           0.0081388
                  96,            0.026757,           0.0099531,            0.010816,              0.9992,                   1,               0.995,             0.81885,            0.010559,           0.0024049,           0.0014691,            0.008119,            0.008119,            0.008119
                  97,            0.022712,           0.0092367,            0.013735,             0.99695,               0.999,               0.995,             0.84151,            0.010059,           0.0025944,           0.0012805,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02541,            0.010147,            0.011488,             0.92759,             0.94531,             0.99194,             0.82408,            0.010106,           0.0028876,           0.0080507,           0.0080794,           0.0080794,           0.0080794
                  99,            0.025286,           0.0099596,            0.012484,             0.99804,                   1,               0.995,             0.83432,           0.0089574,           0.0023739,           0.0013877,           0.0080596,           0.0080596,           0.0080596
                 100,            0.023776,            0.009302,            0.013299,             0.89116,             0.98039,             0.99496,              0.8429,           0.0084325,           0.0024264,           0.0046738,           0.0080398,           0.0080398,           0.0080398
                 101,            0.023681,            0.010582,            0.012554,             0.94619,             0.96768,             0.99485,             0.84449,            0.011091,           0.0024824,           0.0027889,             0.00802,             0.00802,             0.00802
                 102,            0.026336,           0.0098254,            0.012643,             0.99792,                   1,               0.995,             0.83734,           0.0075828,           0.0023187,           0.0013153,           0.0080002,           0.0080002,           0.0080002
                 103,            0.027085,              0.0102,            0.013346,             0.97572,             0.99736,               0.995,             0.83034,           0.0076777,            0.002393,           0.0015205,           0.0079804,           0.0079804,           0.0079804
                 104,            0.026048,           0.0097469,            0.011464,             0.99905,             0.99475,               0.995,             0.83583,           0.0079583,           0.0023694,           0.0011492,           0.0079606,           0.0079606,           0.0079606
                 105,            0.024281,           0.0098747,           0.0099735,             0.99773,             0.99631,               0.995,             0.80738,           0.0095768,           0.0025248,            0.001055,           0.0079408,           0.0079408,           0.0079408
                 106,            0.024495,            0.010011,            0.011186,             0.99909,             0.99743,               0.995,             0.81584,           0.0086852,           0.0024789,           0.0012383,            0.007921,            0.007921,            0.007921
                 107,            0.026523,            0.010633,            0.010206,             0.98919,             0.99864,               0.995,             0.83751,           0.0073695,           0.0023439,           0.0013615,           0.0079012,           0.0079012,           0.0079012
                 108,             0.02468,           0.0099337,           0.0094009,             0.98914,             0.99231,             0.99389,             0.83284,           0.0098716,           0.0023737,             0.00173,           0.0078814,           0.0078814,           0.0078814
                 109,            0.022477,            0.010676,            0.010535,             0.90736,             0.95317,             0.98366,             0.82628,           0.0091295,           0.0024648,           0.0031493,           0.0078616,           0.0078616,           0.0078616
                 110,            0.021685,            0.010344,            0.012709,             0.99144,             0.99186,             0.99488,             0.85225,           0.0091057,           0.0024741,           0.0015268,           0.0078418,           0.0078418,           0.0078418
                 111,            0.022454,            0.009391,            0.012067,             0.99631,                   1,               0.995,             0.81197,            0.010047,           0.0023196,           0.0015241,            0.007822,            0.007822,            0.007822
                 112,            0.023725,           0.0094942,            0.011791,             0.96924,             0.99277,               0.995,             0.85549,           0.0095269,           0.0021332,           0.0020263,           0.0078022,           0.0078022,           0.0078022
                 113,            0.026091,            0.010148,            0.010743,             0.99214,             0.98185,             0.99492,              0.8212,           0.0084497,           0.0023748,           0.0015504,           0.0077824,           0.0077824,           0.0077824
                 114,            0.023947,           0.0094835,            0.011469,             0.99574,             0.99367,               0.995,             0.83879,           0.0075676,           0.0023362,           0.0016933,           0.0077626,           0.0077626,           0.0077626
                 115,            0.024874,            0.010161,           0.0094455,             0.98482,             0.99799,             0.99489,             0.82697,           0.0086206,           0.0025192,           0.0034023,           0.0077428,           0.0077428,           0.0077428
                 116,             0.02642,           0.0099929,             0.01133,             0.91091,             0.96923,             0.98111,             0.81553,           0.0096997,            0.002526,           0.0092686,            0.007723,            0.007723,            0.007723
                 117,            0.025376,           0.0095193,            0.011161,             0.97496,             0.97131,             0.98583,             0.83324,           0.0086848,            0.002413,            0.011128,           0.0077032,           0.0077032,           0.0077032
                 118,            0.024636,           0.0097158,           0.0098044,             0.96895,             0.97494,             0.98779,             0.81266,           0.0094411,           0.0025908,            0.011058,           0.0076834,           0.0076834,           0.0076834
                 119,            0.025339,            0.010187,            0.013735,             0.99862,             0.99666,               0.995,             0.85552,           0.0073612,           0.0021217,          0.00089967,           0.0076636,           0.0076636,           0.0076636
                 120,            0.024304,           0.0099324,            0.009813,             0.99947,                   1,               0.995,              0.8495,            0.010401,           0.0022543,          0.00092866,           0.0076438,           0.0076438,           0.0076438
                 121,            0.025201,            0.010051,             0.01122,             0.99861,                   1,               0.995,             0.83979,           0.0081789,           0.0022805,          0.00076401,            0.007624,            0.007624,            0.007624
                 122,            0.024915,            0.010078,            0.012031,             0.99707,             0.99651,               0.995,              0.8307,            0.007948,           0.0024415,          0.00086628,           0.0076042,           0.0076042,           0.0076042
