               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097369,            0.018553,            0.067932,            0.013176,             0.94231,            0.099914,            0.025907,            0.040437,           0.0092097,            0.035111,              0.0775,              0.0025,              0.0025
                   1,            0.072608,            0.022441,            0.059638,            0.009552,             0.99231,            0.067077,            0.016744,            0.039521,           0.0093301,            0.029691,            0.053999,            0.004999,            0.004999
                   2,            0.062246,            0.023254,            0.048594,             0.36372,             0.60081,             0.41799,             0.11758,             0.03349,           0.0075388,            0.022849,            0.030395,           0.0073951,           0.0073951
                   3,            0.061505,            0.019853,            0.034815,             0.23075,             0.45385,             0.25131,            0.077441,            0.031954,           0.0073679,             0.01977,            0.009406,            0.009406,            0.009406
                   4,            0.063373,            0.018204,            0.031886,             0.21666,             0.55392,             0.22985,             0.07227,            0.028078,            0.006955,            0.018908,            0.009406,            0.009406,            0.009406
                   5,             0.05682,            0.020767,            0.033412,             0.34926,             0.48077,             0.31813,             0.13887,            0.031432,           0.0066131,            0.019792,            0.009208,            0.009208,            0.009208
                   6,            0.054335,            0.017841,            0.028389,             0.39173,             0.54231,             0.35577,              0.1337,            0.031698,           0.0063199,            0.018911,             0.00901,             0.00901,             0.00901
                   7,            0.051138,            0.017678,            0.028747,             0.45062,             0.65113,             0.46473,             0.25996,            0.028533,           0.0051047,            0.016553,            0.008812,            0.008812,            0.008812
                   8,            0.047841,            0.016387,            0.028735,             0.46449,              0.7391,             0.48976,              0.2554,            0.021054,           0.0043643,            0.016156,            0.008614,            0.008614,            0.008614
                   9,             0.04463,            0.015891,            0.030063,             0.46511,             0.77308,             0.50877,             0.30396,            0.024312,           0.0040604,            0.015838,            0.008416,            0.008416,            0.008416
                  10,            0.050048,             0.01533,            0.028841,             0.46709,             0.88324,             0.51516,             0.24068,            0.020677,           0.0034646,            0.015709,            0.008218,            0.008218,            0.008218
                  11,            0.042588,            0.015043,            0.028208,             0.45161,             0.88077,             0.51965,             0.34202,            0.016929,           0.0031899,            0.015808,             0.00802,             0.00802,             0.00802
                  12,            0.042946,            0.014524,            0.029736,              0.4362,             0.79615,             0.52525,             0.32451,             0.01635,            0.003291,            0.015733,            0.007822,            0.007822,            0.007822
                  13,            0.038438,            0.014408,             0.02859,             0.49965,             0.98077,             0.55647,              0.3455,            0.017628,           0.0031959,            0.015556,            0.007624,            0.007624,            0.007624
                  14,            0.040511,            0.014018,            0.027862,             0.49939,                   1,              0.5333,             0.36627,            0.013192,           0.0032282,             0.01571,            0.007426,            0.007426,            0.007426
                  15,            0.034808,            0.013725,            0.027032,             0.49897,                   1,             0.54066,             0.37367,            0.012652,           0.0031157,            0.015951,            0.007228,            0.007228,            0.007228
                  16,             0.03629,            0.013046,            0.027835,             0.49933,                   1,              0.5679,             0.40984,            0.015464,           0.0028905,            0.015875,             0.00703,             0.00703,             0.00703
                  17,            0.035004,             0.01254,            0.027026,             0.49954,                   1,             0.58189,              0.4428,            0.014331,           0.0029162,            0.015843,            0.006832,            0.006832,            0.006832
                  18,            0.032489,            0.012374,            0.027224,             0.47925,                   1,             0.58404,              0.3836,            0.016389,           0.0028569,            0.015772,            0.006634,            0.006634,            0.006634
